"Dataset","Number of the triple","Time"
"phenotyping_large","10000","4.3276448249816895"
"phenotyping_large","20000","5.307192802429199"
"phenotyping_large","30000","6.2811784744262695"
"phenotyping_large","40000","6.97430944442749"
"phenotyping_large","50000","7.697570562362671"
"phenotyping_large","60000","8.656063795089722"
"phenotyping_large","70000","9.347849130630493"
"phenotyping_large","80000","10.945176601409912"
"phenotyping_large","90000","11.966732501983643"
"phenotyping_large","100000","13.041516304016113"
"phenotyping_large","110000","14.49493956565857"
